ENGLISH ,TARAON/TAWRA
I hate my mother-in-law.,haa aa ma maa we prayum weshia
I hate myself sometimes.,haa bhue bhue tyo haa ga we prayum weshia
I hate to be a nuisance.,haa ga mabayum shabo prayum weshia
I hate to waste my time.,haa amuhi ea prayum weshi
I have Tom here with me.,haa du tom a ea
I have a hangover today.,haa tahing eprayum jiya
I have a headache today.,haa taching khudyung a jia
I have a lot of fruits.,haa du tyung dhue masung shei aaha
I have a lot of flowers.,haa du tyung dhue tapuei aaha
I have a lot of friends.,haa du aa tamru kapue tyue ea
I have a lot of pencils.,haa du pencil kapue tyue aaha
I have a silly question.,haa amu pam ahuya aaha
I have a special reason.,haa du dhue makow takaue aaha
I have a sprained ankle.,haa gruu sa nyaha 
I have a tight schedule.,haa time aa lyayum
I have a very old book.,haa du tyung um tako aaha
I have an ear infection.,haa krunake awa shahoya
I have an exam tomorrow.,haa bena exam aaha
I have an older brother.,haa akyaa napu tazae ea
I have another question.,haa du pi ahuya aaha
I have bad news for you.,haa du prayum tawhaa aaha
I have dual citizenship.,haa tikaing mlaa ea hanebiya
I have family in Tezu.,haa anyu tezu ke ea
I have finished my work.,haa kam dung jidyabo
I have just eaten lunch.,haa tya hi hing tape tha dyabo
I have little money now.,haa du pisha katiing ne aa ha
I have lost my umbrella.,haa chata hamaku dyabo
I have no books to read.,haa jamu tako puriya aayum
I have no money with me.,haa du ingmu pisha aa yum
I have nothing to write.,haa jamu juya aayum
I have often been there.,haa bhue bhue tyo achi khigedi
I have run out of money.,haa du pisa hrang shakuya
I have something to say.,haa jajakaluge lane weshi
I have the same opinion.,haa mu walihi wedi
I have the same problem.,haa mu walihi tatyuu chung hoya
I have to add something.,haa jakaluge ha aungya shabiya
I have to be up by 6:30.,haa 6:30 tapi dyuuya shabiya
I have to clean my room.,haa nyung maroo ya shabiya
I have to defend myself.,haa gaa haduu tyuya shabiya
I have to do this alone.,haa pa awe jiya shabiya
I have to earn a living.,haa li ya kanum pisha kam jiya shabiya
I have to get some food.,haa tape ing malaya shabiya
I have to get to school.,haa school boya shabiya
I have to hide this bag.,haa awe phle hamuya shabiya
I have to iron my shirt.,haa ting malung ya shabiya
I have to see a dentist.,haa laa doctor akeya shabiya
I have to sell my house.,haa ang tyue ya shabiya
I have to stop drinking.,haa tyum maraaya shabiya
I have to take a shower.,haa lhueya shabiya
I have to take medicine.,haa tama tyumya shabiya
I have to work tomorrow.,haa bena kam jiya shabiya
I have written a letter.,haa tako judyabo
I have your dog with me.,nyu kwaue haadu ea
I haven't asked Tom yet.,haa tyakhre tom ahuyum
I haven't been drinking.,haa tyumlya dyum
I haven't done that yet.,haa wali jilya dyum
I haven't even told Tom.,haa tom himu atya yum
I haven't forgotten Tom.,haa tom tyakhre wesayum
I haven't forgotten you.,haa nyu tyakhre wesayum
I haven't found Tom yet.,haa tyakhre tom chung yum
I haven't said anything.,haa jamu layum
I haven't slept in days.,haa kaya kadege sha ing lyayum
I haven't spoken to Tom.,haa tom du tyakhre marogayum
I haven't talked to Tom.,haa tom du tyakhre marogayum
I hear you're very rich.,haa tharung tyung dyabo nyu tyung dya la
I heard a strange sound.,haa pita rung a tharung tyung dyabo
I heard her sing a song.,haa miya aa tashe tharung tyung dyabo
I heard him sing a song.,haa muwa aa tashe tharung tyung dyabo
I heard someone whistle.,haa shaking tyung thanu hlai aa tharung tyung dyabo
I heard you got engaged.,haa tharung tyung dyabo nyu ruga laga
I heard you got married.,haa tharung tyung dyabo nyu muwa ang boliya
I helped them yesterday.,haa balyung hing chanung habrung dyabo
I hope I don't get lost.,haa wedi haa hamatyu biyam
I hope I'm not too late.,haa wedi haa raa balli shayum
I hope Tom doesn't sing.,haa wedi tom tashe biyam
I hope Tom is impartial.,haa wedi tom halyue maa jibiya
I hope Tom is organized.,haa wedi tom che kam jia
I hope Tom isn't scared.,haa wedi tom raikho jihoyum
I hope it stops raining.,haa wedi kara taa biya
I hope that I can do it.,haa wedi haa awe jihanebiya
I hope to hear from you.,haa wedi nyu takaue tharung tyung labiya
I hope to see you again.,haa wedi nyu whiityung lyana biya
I hope you are all well.,haa wedi ane me pra iga matyo
I hope you feel at home.,haa wedi nyu angke epra shabiya
I hurt myself yesterday.,haa balyung hing haa gaa awa jityuu dyabo
I invited Tom to Boston.,haa tom boston hanana la amedyabo
I just don't believe it.,haa awe kademu dyung dyum
I just got my hair done.,haa tyahi thung marooshue dyabo
I just need to sit down.,haa inge bari diya shabiya
I just want to be alone.,haa kapa ine wedi
I just want to be happy.,haa halyo ya kanum jidi
I just want to be loved.,haa meinung pra weringke wedi
I just want to have fun.,haa halyo ya kanum jidi
I just want you to come.,haa nyu hana ingke wedi
I kind of lost my focus.,haa jaa we makow dyabo we shayum
I knew Tom couldn't win.,haa kasadi tom hanebiyum tyapi
I knew it was unhealthy.,haa awe tyungba kanum prayum la kasadi ki
I knew it wouldn't work.,haa awe kam jibiyam la kasadi ki
I knew you would get it.,haa nyu lumkoo hanabiya la kasadi ki
I knew you'd be in here.,haa nyu achi hanabiya la wedi
I knew you'd understand.,haa nyu gu kasabiya la wedi
I knew your father well.,haa nyu baa pra kasadi
I know Boston very well.,haa boston pra kasadi
I know I'm going to die.,haa kasadi haa sheityu bo
I know Tom is in Tezu.,haa kasadi tom tezu ke ea
I know Tom isn't guilty.,haa kasadi tom wali jiyum
I know all my neighbors.,haa ang du mei mi kasadi
I know all your secrets.,haa nyu lumkoo takaue mi kasadi
I know him only by name.,haa chawe amung gu ne kasadi
I know his brother well.,haa cha pramru pra kasadi 
I know how busy you are.,haa kasadi nyu tyung wefreyum
I know how to get there.,haa kasadiachinyu gadenyu khiya
I know it takes courage.,haa kasadi awe jiya kanum kadege tawe pre jiya sha
I know myself very well.,haa gaa pralung ga kasa tyudi
I know nothing about it.,haa awe ba jamu kasadyum
I know nothing but this.,"haa jamu kasadyum, awe ne kasadi"
I know some of the boys.,haa muwa aa hablige kasadi
I know that I was wrong.,haa kasadi haa ji wha kooya
I know that Tom is nice.,"haa kasadi, tom we tawe pra"
I know that he was busy.,"haa kasadi, cha tyung kam aaha"
I know that much myself.,haa ga takaue kasatyudi
I know that you love me.,"haa kasadi, nyu haa pra we"
I know things about you.,haa nyu takaue mei kasadi
I know things you don't.,haa nyu kasayum takaue mu kasadi
I know what Tom is like.,haa nyu tom wali hi kale
I know what her name is.,haa miya aa cha amung kasadi
I know what his name is.,ha muwa aa cha amung kasadi
I know what people want.,haa mei nung ja dhue a kasadi
I know what that's like.,haa kasadi kade nyu wali sha
I know what you thought.,haa nyu ja we mi kasadi
I know where the key is.,haa daming hanu aa ha kasadi
I know why Tom resigned.,tom jaba maraa ku haa kasadi
I know you hate banana.,nyu bajai pra weyum haa kasadi
"I know you're busy, too.",nyu tyung kam dhue aa ha kasadi
"I know you're here, Tom.",haa kasadi tom nyu a eha
I know you're irritated.,nyu tyung khamyu hoya haa kasadi
I know you're listening.,nyu tharung a haa kasadi
I know you're not lying.,haa kasadi nyu lahalue yum
I learned that from you.,haa nyu gu kasadyabo
I learned to milk a cow.,haa machow proo ya kasadyabo
I lied about doing that.,haa jidyabo la lahalue kuya
I like coming home.,haa ang hananaya pra weshi
I like her an awful lot.,haa miya aa cha tawe prawe tyung pra weshi
I like it when it's hot.,haa awe kae a gu pra weshi
I like listening to Tom.,haa tom takaue tharungya pra weshi
I like listening to him.,haa cha takaue tharungya pra weshi
I like living in tezu.,haa tezu ea pra weshia
I like my coffee strong.,haa coffee dhue sohowe pra weshia
I like my job very much.,haa ga kaam we tyung pra weshi
I like playing baseball.,haa baseball khiliya pra weshi
I like studying English.,haa english puriya pra weshia
I like studying history.,haa history puriya pra weshia
I like tennis very much.,haa tennis khiliya pra weshi
I like that description.,haa achiwe ba takaue tharung ya pra wedi
I like the color green.,haa tyungaa rong pra weshi
I like the way you look.,haa nyu gademu whii we pra wedi
I like the way you sing.,haa nyu gadenyu tashee we pra wedi
I like the way you talk.,haa nyu gademu maroa we pra wedi
I like the way you walk.,haa nyu gademu chae a we pra wedi
I like those sunglasses.,haa achiwe ta kalla pra wedi
I like to advise people.,haa mei nung tawhiya pra wedi
I like to build bridges.,haa dolong baya pra wedi
I like to draw pictures.,haa tako ke juya pra weshia
I like to play football.,haa football khiliya pra weshia
I like to read the books.,haa tako puriya pra wedi
I like walking at night.,haa yagu chaeya pra wedi
I like working with Tom.,haa tom du kam jiya pra weshia
I like working with you.,haa nyudu kam jiya pra weshia
I listened to her story.,haa cha hadi a tharung dyabo
I live in a remote area.,haa rum a mlaa ke edi
I lived in a small town.,haa mlaa a aa ke eidi
I locked the front door.,haa hanya khalung pung dyabo
I looked at the picture.,haa juho we whidyabo
I lost a valuable gold.,haa duebrue badai hamakuya
I lost everything I had.,haa takuu tyuu hamakuya
I love being at Home.,haa ang eya tyung pra weshia
I love coming to Boston.,haa boston hanaya pra weshia
I love hard-boiled eggs.,haa suhoya tyumayee thaya pra weshia
I love living in Tezu.,haa tezu lumku eya tyung pra weshia
I love studying history.,history puri haya tyung pra we di
I love to see you laugh.,nyu maara whii haya haa pra weshia
I love to see you smile.,nyu misha mara we whii pra wedi
I love to take pictures.,haa photo tyoya pra weshia
I love working with Tom.,haa tom du kam jiya pra weshia
I made a fool of myself.,haa ga hi lahalue dyabo
I made a rookie mistake.,haa tyung prayum darae jihaa kudyabo
I made friends with her.,haa miya aa cha atamru ba dyabo
I made friends with him.,haa muwa aa cha atamru ba dyabo
I majored in psychology.,haa psycology tako ke shamidu halyusha dyabo
I make an honest living.,haa tharaue edi
I make my own decisions.,haa gahi tawe wekasayu gu edi
I may go swimming today.,haa taching machae laue boya
I met Tom on the street.,haa tom alyumgu tarugaya
I met Tom the other day.,haa tom kahing pi gu tarugaya
I met her at the church.,haa miya aa cha church ke tarugaya
I met him on the street.,haa muwa aa cha alungu tarugaya
I met him the other day.,haa muwa aa cha kahing pigu tarugaya
I might as well give up.,haa mu lakasayum jiyum shabiya
I might as well go home.,haa mu lakasayu ang boya shabiya
I miss my mom's cooking.,haa nama tape hayaa wetyung a
I miss talking with you.,haa nyudu marogaya wetyung a
I missed the last train.,haa mamyu train khi chung yum
I missed the school bus!,haa school da rochung yum
I must apologize to Tom.,haa tom maf sheiya
I must do as Tom wishes.,haa tom gade laha wali jiya shabiya
I must get back to work.,haa kampa boya shabiya
I must've misunderstood.,haa tharung haa kuyade
I need some good advice.,haa pra tawha kasaya dhue a
I need something to eat.,haa kaluge thaya dhue a
I need to clear my head.,haa tawe khrea jiya dhue a
I need to go to Chicago.,haa chicago boya shabiya
I need to know tomorrow.,haa abena kasaya dhue biya
I need to rest a moment.,haa chuege khaya dhue biya
I need to talk with Tom.,haa tom du marogaya dhue biya
I need to wash my hands.,haa atyo manumya dhue biya
I need you to leave now.,haa nyu tya bona wedi
I need your cooperation.,haa nyu brungya dhue biya
I needed to talk to you.,haa nyudu marogaya dhue biya
I never break a promise.,haa kadigumu takaue tapei marodyum
I never do any exercise.,haa kadigumu tyung mabyudyum
I never forget anything.,haa kadigumu jadaraimu wesadyum
I never learned to swim.,haa kadigumu talu machae laueya kasadyum
I never listened to Tom.,haa tom kadigumu tharung dyum
I never thought I'd win.,haa hane bi ya la kadigumu tharung dyum
I never visit my sister.,haa kadigumu ha pra mru du bodyum
I no longer have a home.,haa du tya ang aayum bo
I no longer need a loan.,haa tya pisha hadaya dhueyumbo
I often dream about you.,haa bhue bhue tyo nyu yamu a 
I often go to the river.,haa bhue bhue tyo machae dyue bodi
I often have bad dreams.,haa bhue bhue tyo prayum yamu a
I often have nightmares.,haa bhue bhue tyo raishiya yamu a
I often play volleyball.,haa bhue bhue tyo volleyball khilidi
I only have a few books.,haa du tako katine aaha
I only have one brother.,haa brapa pu mru eha
I only know a few words.,haa kati ingtyo takue kasade
I only know him by name.,haa cha amungu ne kasade
I only want to help Tom.,haa tom cha babrungne wehadi
I ordered new furniture.,haa mei tyum blyum brei shue hoya
I owe everything to you.,haa nyu jaladu hungya sha
"I owe him 1,000 rs.",haa cha rajung ge hungya sha
I owe my success to him.,haa cha kanum haneya sha
I owe you a big apology.,haa nyu darung hi maf sheiya sha 
I paid about 50 rs.,haa malum mangaa hung dyabo
I paid cash for the car.,haa pisha hungyagu garei braidyabo
I paid for Tom's ticket.,haa tom ba ticket braihung dyabo
I paid him four rs.,haa cha pla kaprae hung dyabo
I painted the gate white.,haa gate we lyo mado dyabo
I partly agree with you.,haa ingtyo nyu dyung di
I prefer mutton to beef.,haa machow tabre du chagulei tabre pra wedi
I promise I'll be quiet.,haa mishaa ena ladi
I promised Tom I'd wait.,haa tom kalyune ladi
I reacted instinctively.,haa chue kapa kasaku dyabo
I read one of his works.,haa cha juho brage puridyabo
I really appreciated it.,haa jum nyumu che jia wedi
I really don't know him.,haa jum nyumu cha kasadyum
I really don't like Tom.,haa jum nyumu tom kasadyum
I really have to go now.,haa jum nyumu tya boya sha
I really like city life.,haa jum nyumu mlaa ke ea pra weshi
I really like that girl.,haa jum nyumu achi miya aa we pra wedi
I really like this song.,haa jum nyumu awe tashe tyung pra wedi
I really like you a lot.,haa jum nyumu nyu tyung pra wedi
I really need your help.,haa nyu babrungna ladi
I received your message.,haa nyu ta wha chung dyabo
I recommend it strongly.,haa awe dhue makow la prae ladi
I refuse to accept that.,haa awe dhue yum la di
I remember it very well.,haa awe pra wetyung mokow a
I remember watching Tom.,haa tom whedi wetyung a
I remember what he said.,haa cha jala wetyung a
I said I'd wait for Tom.,haa tom kalyune ladi
I said drop your weapon!,haa nyu tawra bari hajana ladi
I said something stupid.,haa kam ha aa maro haa dyabo
I saw Tom on television.,haa tom tv ke whityung dyabo
I saw Tom on the stairs.,haa tom tafrutyu kya whityung dyabo
I saw Tom the other day.,haa tom kahing pi whityung dyabo
I saw a cat on the roof.,haa majarai brage ang kyaa whityung dyabo
I saw him looking at me.,haa cha hawe whii whityung dyabo
I saw something strange.,haa pita darai whityung dyabo
I saw tears in his eyes.,haa cha balum ke blei jaa whityung dyabo
I scarcely slept a wink.,haa inge mu balum ma chung yum
I see what you're doing.,haa nyu jadi whiladi
I sent a message to Tom.,haa tom tawha awhe dyabo
I sent you a new dress.,haa nyu ting kajum mi awhe dyabo
I should clean the room.,haa nyung maroo ya dhue biya
I should move to Boston.,haa boston nyu boya shabiya
I should've let Tom win.,haa tom hane ingke jiya shabiya
I should've stayed home.,haa angke eya shabiya
I shouldn't be laughing.,haa maraya dhue biyam
I showed him who's boss.,haa taya jum we cha akedyabo
I slammed on the brakes.,haa brake ro tingku dyabo
I slept aboard the ship.,haa wraa kya ing dyabo
I speak French a little.,haa french ingtyo marodi
I speak a little French.,haa ingtyo french marodi
I speak from experience.,haa kasa khuuho we marodi
I speak three languages.,haa kasung bami takaue marodi
I stared at the ceiling.,haa appuu whidyabo
I started getting ready.,haa botyuya jidi
I still believe in love.,haa tyamu pra wedagaya we dyungdi
I still dream about Tom.,haa tyamu tom we yamu di
I still have to do that.,haa tyamu wali jiya shabiya
I still have work to do.,haa tyamu kam jiya aa la
I still haven't done it.,haa tyakhre kam jiyum
I stretched out my arms.,haa atyo lyungcha mabyo dyabo
I stretched out my legs.,haa groo lyungcha
I studied it thoroughly.,haa puri mokow dyabo
I study English at home.,haa ang gu english tako puridi
I suppose I'd better go.,haa bokudi nyu pra shabiya
I suppose you are right.,haa nyu che che jia wedi
I suppose you're hungry.,haa nyu shityu hoya wedi
I swim almost every day.,haa hinglamung machae yo tyue laue di
I take a bath every day.,haa hinglamung machae laue di
I take back what I said.,haa ja ladyabo we shilya wedi
I take my job seriously.,haa gaa kam tawe wekhowya jidi
I tend to make mistakes.,haa bhue bhue tyo wha haa a
I think I can handle it.,haa hanebiya weshi a
I think I have a cavity.,haa laa takow thaho wedi
I think I need a friend.,haa wedi haa aatamru dhue a
I think I understand it.,haa wedi haa awe kasadi
I think I won't do that.,haa wedi haa wali jiyayum
I think I'll be leaving.,haa wedi haa boya shabiya
I think Tom can do that.,haa wedi tom achiwe ji hane biya
I think Tom is cheating.,haa wedi tom ning we kapa ba
I think Tom is horrible.,haa wedi tom tyung khanyum
I think Tom is immature.,haa wedi tom tyakhre aa tawe
I think Tom is impolite.,haa wedi tom takaue we tyung bra ra moro a
I think Tom is literate.,haa wedi tom tako dhue purihoya
I think Tom is mistaken.,haa wedi tom damu hi we haa kuya
I think Tom is sleeping.,haa wedi tom ing hoya
I think Tom isn't right.,haa wedi tom jum layum
I think Tom may do that.,haa wedi tom wali jibiya
I think Tom misses Mary.,haa wedi tom mary we wetyung a
I think Tom should stay.,haa wedi tom eteingke
I think about her a lot.,haa chawe tyung dhue wetyung a
I think about her often.,haa dhue yu chawe wetyung di
I think about him often.,haa muwa aa chawe bhue bhue tyo wetyung a
I think his name is Tom.,haa wedi muwa aa cha amung we tom
I think it would be fun.,haa wedi awe halyo shibiya
I think my parents know.,haa wedi haa nama naba nung kasaga
I think now is the time.,haa wedi tya time sha
I think the same as you.,haa nyu dhue ge wedi
I think these are yours.,haa wedi awe nung mi nyu ba ja
I think this is for you.,haa wedi awe nyu ba
I think those are Tom's.,haa wedi achiwe tom ba ja
I think we need to talk.,haa wedi ning marogaya tachigaya dhue a
I think we should do it.,haa wedi ning wali jiya dhue a
I think we were lied to.,haa wedi ning we lahalue ku ringya
I think we're too young.,haa wedi ning me tyakhre shabre edi
I think you can help us.,haa wedi nyu ning babrung hane biya
I think you should swim.,haa wedi nyu machie yo na
I think you'd like that.,haa wedi nyu wali we pra we
I think you're mistaken.,haa wedi nyu tawe tawe we haa kuuya
I thought I could do it.,haa wedyabo haa hane biya
I thought I heard music.,haa tashe tharung tyung dyabo wedi
I thought I was too old.,haa wedi haa tyung tapau ku hoya
I thought Mary loved me.,haa wedi mary haa pra we
I thought Tom had a dog.,haa wedi tom du kwaue ea ki
I thought Tom knew Mary.,haa tom mary kasala wedi
I thought Tom was bored.,haa wedi tom we whaa hoyum
I thought Tom was ready.,haa wedi tom botyuya jia
I thought everyone knew.,haa wedi mei mi kasaga la
I thought he might come.,haa wedi muwa aa cha hanabiya la
I thought he was honest.,haa wedi muwa aa cha tawe khrea
I thought he would come.,haa wedi muwa aa cha hanabiya nyukya
I thought it was a joke.,haa wedi awe amu roo mara takaue
I want to go to America.,haa America bo myu a
I want to go to Germany.,haa Germany bo myu a
I want to go to home.,haa ang bo myu a
I want to go to a hotel.,haa hotel bo myu a
I want to go to college.,haa college bo myu a
I want to help if I can.,haa wefre bo babrung myu a
I want to kill somebody.,haa mei khinge sae myu a
I want to live in Italy.,haa Italy ke emyu a
I want to live with you.,haa nyu du emyu a
I want to look like Tom.,haa tom dhue ge sha myu a
I want to look like her.,haa miya aa cha dhue a
I want to meet with Tom.,haa tom taruga myu a
I want to play football.,haa football khili myu a
I want to read the book.,haa tako we puri myu a
I want to say I'm sorry.,haa ji whaa kuu ya laane wedi
I want to say one thing.,haa kaluge lane wedi
I want to say thank you.,haa nyu khodemu lane wedi
I want to see Tom again.,haa tom bhuedu whityung myu a
I want to see the movie.,haa film whii myu a
I want to see the roses.,haa rose tapue whii myu a
I want to see you again.,haa nyu bhuedu whiityung myu a
I want to see you laugh.,haa nyu maara whityung myu a
I want to see your boss.,haa nyu tayaa jum whityung myu a
I want to sing the song.,haa tashe we tashe myu a
I want to study English.,haa english puri myu a
I want to study history.,haa history puri myu a
I want to take Tom home.,haa tom ang katyow myu a
I want us to be friends.,haa ning mei aa tamroo ba myu a
I want you to come here.,haa nyu anyu hana ingke wedi
I want you to come home.,haa nyu ang hana hana ingke wedi
I want you to have this.,haa nyu awe sheingke wedi
I want you to know that.,haa nyu achiwe kasa ingke wedi
I want you to leave now.,haa nyu tya boingke wedi
I want you to lie still.,haa nyu mishaa khana ladi
I wanted Tom to do that.,haa tom achiwe je-ingke wedi
I wanted to be with you.,haa nyudu ehane wedi ki
I wanted to impress Tom.,haa tom pra weingke jine wedi ki
I wanted to read a book.,haa tako purine wedi ki
I wanted to slap myself.,haa gaa hi tabyeine wedi ki
I was born 20 years ago.,haa meyaa kanung kaing halung shaya
I was calling my friend.,haa aatamru amedi ki
I was confused at first.,haa hayuu wesaku dyabo
I was invited to dinner.,haa tayaa tape thana la ameho ya
I was laughed at by him.,haa whiiya muwa aa cha marajai a
I was lost in the crowd.,haa mei lum kama kuu ya 
I was not a good mother.,haa pra aa ma yum
I was on my way to work.,haa kampa cheidi ki
I was only gone an hour.,haa bonaya ghantage sha
I was prepared for that.,wali shabiya haa kasali dyabo
I was talking about you.,haa nyu takaue marodi ki
I was thinking about it.,haa nyu wetyungdi ki
I was told Tom ran away.,"haa mei nung atyaga, tom chowku bo"
I was young at the time.,we time gu haa we shabre ki
I wasn't able to escape.,haa li haneyum shakuya
I wasn't born yesterday!,haa balyung hing ake hanayum ki
I wasn't expecting that.,wali shabiya haa kasadyum ki
I wasn't here yesterday.,haa balyung hung ake hanayum ki
I wasn't looking at you.,haa nyu whidyum ki
I watch a lot of movies.,haa film tyung dhue whiidi
I watched it on YouTube.,haa YouTube ke whidyabo
I went down by stairs.,haa bari tafrutyu gu bodyabo
I went out to find food.,haa tape malaya habung khige
I went there to see her.,haa achi miya aa cha whiiya khige
I went to Tezu by train.,haa train kyaa diyagu Tezu khige
I went to bed very late.,haa tachung kyaa khaya raagune bodyabo
I will call a policeman.,haa police ame ne
I will join a golf club.,haa golf club lung me
I will never have a son.,haa kadigumu yuwa aa dhueyum
I wish I could help you.,haa nyu btung hane ji praboya
I wish I could join you.,haa nyu du bohaneji
I wish I had eaten more.,haa ingdu thayaji praboya
I wish I had more money.,haa du pisha ingdu aaha ji praboya
I wish I were different.,haa ing pi shayaji praboya
I wish I were in Boston.,haa boston ke ediji praboya
I wish to see my father.,haa naba whiityung myu a
I wish we had done that.,haa wedi ning wali jiyaji praboya
I wish we had more time.,haa wedi ning ingdu time aaha ji praboya
I wish we'd met earlier.,haa wedi ning hayuu tarugahaji praboya
I wish you spoke French.,haa wedi nyu french marokasaji praboya
I wish you were with me.,haa wedi nyu haa du ea ji praboya
I won't be easy to beat.,haa shamu haduu hanebiyam
I won't boss you around.,haa nyu takhuyam
I won't come back again.,haa hana lyanayam
"I won't forget you, Tom.",haa tom nyu wesayam
I won't see her anymore.,haa miya aa cha kadigumu whiityung beyam
I won't see him anymore.,haa muwa aa cha kadigumu whiityung beyam
I won't sell the horses.,haa machow hung tyue yam
I wonder how this works.,haa wedi gadenyu kam jia hing
I wonder if Tom is cold.,haa wedi tom juu a nyu kya
I wonder if he loves me.,haa wedi muwa aa cha haa prawe nyu kya
I wonder where Tom went.,haa wedi tom hanu khige hing
I wonder why Tom is sad.,haa wedi tom jadila khudyow hoya hing
I wonder why Tom waited.,haa wedi tom jadila kalyuhoya
I wonder why he is late.,haa wedi cha tyung raa kadenyu shakuya
I work during the night.,haa yaa gu kam jidi
I work for this company.,haa awe company ba kam jidi
I work in a flower shop.,haa tapue tyue kae kam jidi
I worry about my future.,haa abe ba kanum we rhue di
"I would like to go, too.",haa mu bone wedi
I would like to see Tom.,haa tom whii myu a
I wouldn't recommend it.,haa ali jina layam
I'd be happy to come in.,haa halyoshi nyu ang ke hana bo
I'd better be on my way.,haa aa alyum rotyu bo pra shabiya
I'd do anything for Tom.,haa tom ba jamei jihung ne
I'd do anything for you.,haa nyu ba jamei jihung ne
I'd do the same for you.,haa nyu ba wali hi jihung ne
I'd like my coffee weak.,haa coffee raba tyumya pra wedi
I'd like some ice cream.,haa ice cream thamyu a
I'd like three of these.,haa ami ke kasung me pra wedi
I'd like to be like Tom.,haa tom dhuege sha myu a
I'd like to be with Tom.,haa tom dhuege sha myu a
I'd like to go with Tom.,haa tom du bo myu a
I'd like to go with you.,haa nyu du bo myu a
I'd like to leave early.,haa hayuu bo myu a
I'd like to look inside.,haa lumkoo whityung myu a
I'd like to make a call.,haa bhuege maro myu a
I'd like to play tennis.,haa tennis khili myu a
I'd like to say goodbye.,haa pra bonana lane wedi
I'd like to sing a song.,haa brage tashe myu a
I'd like to talk to Tom.,haa tom du maro myu a
I'd like to talk to you.,haa nyu du maro myu a
I'd like you to have it.,haa awe dhue a
I'd love to be your age.,haa nyu dhuege tazae sha myu a
I'd love to talk to you.,haa nyu du maro myu a
I'd rather go to Boston.,haa boston nyu bo myu a
I'd rather not meet him.,haa cha du maro gaha yam
I'd rather take the bus.,haa da garae ke ta bohane
I'd really like to help.,haa jumnyumu babrung myu a
I'll ask Tom to help me.,haa tom babrung na laane
I'll ask around for you.,haa nyu ba kanum ahoo malla ne
I'll attend the meeting.,haa harumga ke khigene
I'll be absent tomorrow.,haa abena hana hane biyam
I'll be at home tonight.,haa tayaa ang hana ne
I'll be back in a while.,haa tya chuege gu hanana ne
I'll be back in an hour.,haa ghanta ge gu hanana ne
I'll be back right away.,haa tya bae hi hanana ne
I'll be better tomorrow.,haa abena lhue pra shana biya
I'll be done in an hour.,haa ghanta lumko pung biya
I'll be home late today.,haa tahing ang raa ne hanane
I'll be honest with you.,haa nyu amu hi kapa bayam
I'll be in the basement.,haa ang bari ke egane
I'll be praying for you.,haa nyu ba kanum kumne
I'll be there on Monday.,haa debar achike hanane
I'll be waiting outside.,haa habung ke kalyune
I'll call Tom on Monday.,haa tom Monday gu ame ne
I'll call you back soon.,haa nyu tagru ame lyana ne
I'll call you in a week.,haa nyu haftage libo ame ne
I'll catch the next bus.,haa daa pei we rone
I'll come back tomorrow.,haa abene hana lyanane
I'll come to your place.,haa nyu mlaa hanane
I'll deal with it later.,haa abe whii kune jasheya sa
I'll do all the talking.,haa jaladu mei marone
I'll explain everything.,haa jaladu mei hadine
I'll find out who he is.,haa sha hing la ahu mlaa ne
I'll follow your advice.,haa nyu jalaa tharung ne
I'll get home on Monday.,haa Monday gu ang hanana ne
I'll give you a new one.,haa nyu pie mie hung ne
I'll give you a present.,haa nyu brage darei hung ne
I'll give you something.,haa nyu kalyu tyung hung ne
I'll give you this book.,haa nyu awe tako hung ne
I'll go along with that.,haa awe du bo ne
I'll go and have a look.,haa boya gu whii ge ne
I'll go home and get it.,haa ang boya gu shi ge ne
I'll go to the hospital.,haa tama ang bone
I'll graduate this year.,haa a kanung tako puri dung biya
I'll have her come here.,haa miya aa cha ake ame ge ne
I'll have to ask around.,haa ahu malaa kune
I'll help any way I can.,haa gade wefrege babrung ne
I'll help you all I can.,haa nyu hanege babrung ne
I'll keep an eye on Tom.,haa tom whii akow lane
I'll keep my mouth shut.,haa tharum brum poyam
I'll leave it up to you.,haa nyu jawega tawe jina
I'll lend you this book.,haa nyu awe tako hung ge ne
I'll let everybody know.,haa mei mi kasaingke gine
I'll let you know later.,haa nyu abe atyane
I'll look forward to it.,haa be whiine jasha sa
I'll make you breakfast.,haa ana tape nyu ba hayaa ne
I'll miss you very much.,haa nyu tyung wetyung biya
I'll never let you down.,haa nyu kadigumu bari jiyam
I'll never tell anybody.,haa shamu atya yam
I'll never work for you.,haa nyuba kadigumu jihung yam
I'll pick you up at six.,haa nyu baji tahro gu katyowya hanane
I'll put it on the list.,haa tako ke ju ne
I'll see you in October.,haa nyu october ke tarugane
I'll send you a picture.,haa nyu photo awhene
I'll sleep on the bed.,haa tachung kyaa ingne
I'll sleep on the floor.,haa khalae kyaa ingne
I'll stay at home today.,haa tahing ang ke ene
I'll stay home tomorrow.,haa abena ang ke ene
I'll take that as a yes.,haa achiwe umm la shi ne
"I'll take that one, too.",haa achiwe brage wemu shi ne
I'll take these with me.,haa awe nung shi bone
I'll take this umbrella.,haa awe chata shi ne
I'll take you to school.,haa nyu school katyow bone
I'll tell Tom right now.,haa tom tya atyane
I'll tell Tom the truth.,haa tom jum takaue atya ne
I'll tell Tom you asked.,haa tom atyane nyu ahoo a la
I'll tell you the truth.,haa nyu jum takaue atya ne
